variety,20_tp_s,20_tp_l,20_fn_s,20_fn_l,20_fp,10_tp_s,10_tp_l,10_fn_s,10_fn_l,10_fp,5_tp_s,5_tp_l,5_fn_s,5_fn_l,5_fp,2_tp_s,2_tp_l,2_fn_s,2_fn_l,2_fp
Deletion,448,415,102,35,12,404,369,146,81,7,181,178,369,272,3,22,17,528,433,0
Deletion,513,416,37,34,6,459,370,91,80,1,208,183,342,267,0,19,13,531,437,0
Deletion,526,426,24,24,17,516,423,34,27,7,419,374,131,76,4,124,121,426,329,0
Deletion,343,437,207,13,31,279,388,271,62,7,121,188,429,262,2,12,17,538,433,0
Deletion,279,426,271,24,0,236,384,314,66,0,93,185,457,265,0,10,17,540,433,0
Deletion,500,431,50,19,2,439,386,111,64,1,212,186,338,264,0,28,17,522,433,0
Deletion,384,435,166,15,0,304,394,246,56,0,96,193,454,257,0,2,16,548,434,0
Duplication,390,416,160,34,3,273,370,277,80,2,113,155,437,295,0,13,18,537,432,0
Duplication,514,433,36,17,5,440,370,110,80,2,204,156,346,294,1,23,18,527,432,0
Duplication,522,438,28,12,7,491,433,59,17,5,342,363,208,87,1,86,99,464,351,0
Duplication,326,443,224,7,24,239,393,311,57,4,96,166,454,284,3,13,19,537,431,0
Duplication,0,0,550,450,0,0,0,550,450,0,0,0,550,450,0,0,0,550,450,0
Duplication,390,441,160,9,0,332,393,218,57,0,134,166,416,284,0,17,18,533,432,1
Duplication,347,441,203,9,0,210,410,340,40,0,49,165,501,285,0,3,10,547,440,0
Insertion,863,844,237,56,75,690,740,410,160,29,291,322,809,578,10,22,43,1078,857,0
Insertion,1019,831,81,69,24,892,735,208,165,4,372,317,728,583,4,51,42,1049,858,0
Insertion,1048,863,52,37,101,1021,850,79,50,34,782,712,318,188,14,197,225,903,675,0
Insertion,940,887,160,13,178,750,774,350,126,53,303,326,797,574,22,22,43,1078,857,2
Insertion,584,615,516,285,382,498,552,602,348,158,224,247,876,653,33,17,30,1083,870,2
Insertion,0,0,1100,900,0,0,0,1100,900,0,0,0,1100,900,0,0,0,1100,900,0
Insertion,0,0,1100,900,0,0,0,1100,900,0,0,0,1100,900,0,0,0,1100,900,0
Inversion,471,435,79,15,4,442,429,108,21,0,361,382,189,68,0,109,106,441,344,0
Inversion,526,434,24,16,4,523,431,27,19,2,448,378,102,72,1,134,123,416,327,0
Inversion,533,436,17,14,9,529,436,21,14,2,513,434,37,16,2,349,328,201,122,0
Inversion,483,445,67,5,53,432,436,118,14,11,252,265,298,185,3,33,29,517,421,0
Inversion,479,440,71,10,5,441,426,109,24,29,345,364,205,86,63,105,106,445,344,18
Inversion,478,443,72,7,0,437,435,113,15,0,265,286,285,164,0,35,33,515,417,0
Inversion,71,424,479,26,2,34,330,516,120,0,8,90,542,360,0,,1,550,449,0
